age,balance,housing,contact,day,duration,campaign,previous,poutcome,response,balance_housing
45,206,1,unknown,5,3.22,1,0,unknown,no,206
47,164,0,unknown,5,3.53,1,0,unknown,no,0
42,690,1,unknown,5,0.33,1,0,unknown,no,690
59,2343,1,unknown,5,17.37,1,0,unknown,yes,2343
46,137,1,unknown,5,4.1,1,0,unknown,no,137
51,173,1,unknown,5,8.82,2,0,unknown,no,173
56,45,0,unknown,5,24.45,1,0,unknown,yes,0
41,1270,1,unknown,5,23.15,1,0,unknown,yes,1270
46,16,1,unknown,5,3.13,2,0,unknown,no,16
57,486,1,unknown,5,3,2,0,unknown,no,486
42,50,0,unknown,5,0.8,1,0,unknown,no,0
30,152,1,unknown,5,3.55,2,0,unknown,no,152
60,290,1,unknown,5,9.72,1,0,unknown,no,290
60,54,1,unknown,5,3.68,1,0,unknown,no,54
57,-37,0,unknown,5,2.88,1,0,unknown,no,0
36,101,1,unknown,5,7.1,1,0,unknown,no,101
55,383,0,unknown,5,4.78,1,0,unknown,no,0
60,81,1,unknown,5,1.68,1,0,unknown,no,81
39,0,1,unknown,5,3.38,1,0,unknown,no,0
46,229,1,unknown,5,3.28,1,0,unknown,no,229
44,-674,1,unknown,5,4.28,1,0,unknown,no,-674
53,90,0,unknown,5,2.07,1,0,unknown,no,0
52,128,1,unknown,5,3.82,1,0,unknown,no,128
59,179,1,unknown,5,0.92,3,0,unknown,no,179
27,0,1,unknown,5,6.67,1,0,unknown,no,0
44,54,1,unknown,5,3.28,1,0,unknown,no,54
47,151,1,unknown,5,3.17,1,0,unknown,no,151
34,61,0,unknown,5,0.35,1,0,unknown,no,0
59,30,1,unknown,5,8.57,1,0,unknown,no,30
45,523,1,unknown,5,14.15,2,0,unknown,no,523
29,31,1,unknown,5,3.23,1,0,unknown,no,31
46,79,0,unknown,5,2.4,1,0,unknown,no,0
56,-34,1,unknown,5,3.53,2,0,unknown,no,-34
36,448,1,unknown,5,4.77,1,0,unknown,no,448
59,81,1,unknown,5,1.78,1,0,unknown,no,81
44,144,1,unknown,5,4.12,2,0,unknown,no,144
41,351,1,unknown,5,8.63,1,0,unknown,no,351
33,-67,1,unknown,5,6.07,1,0,unknown,no,-67
59,262,0,unknown,5,2.97,1,0,unknown,no,0
57,0,0,unknown,5,1.63,1,0,unknown,no,0
56,56,1,unknown,5,7.32,1,0,unknown,no,56
51,26,1,unknown,5,1.32,1,0,unknown,no,26
34,3,1,unknown,5,2,3,0,unknown,no,3
43,41,1,unknown,5,2.12,2,0,unknown,no,41
52,7,0,unknown,5,2.92,1,0,unknown,no,0
33,105,1,unknown,5,4.37,2,0,unknown,no,105
29,818,1,unknown,5,1.02,1,0,unknown,no,818
34,-16,1,unknown,5,1.3,1,0,unknown,no,-16
31,0,1,unknown,5,2.38,1,0,unknown,no,0
55,2476,1,unknown,5,9.65,1,0,unknown,yes,2476
55,1185,0,unknown,5,11.28,1,0,unknown,no,0
32,217,1,unknown,5,5.75,1,0,unknown,no,217
38,1685,1,unknown,5,3.08,1,0,unknown,no,1685
55,802,1,unknown,5,1.67,2,0,unknown,no,802
28,0,1,unknown,5,2.08,2,0,unknown,no,0
23,94,1,unknown,5,3.22,1,0,unknown,no,94
32,0,1,unknown,5,2.27,1,0,unknown,no,0
43,0,0,unknown,5,1.22,1,0,unknown,no,0
32,517,1,unknown,5,8.8,1,0,unknown,no,517
46,265,1,unknown,5,9.02,1,0,unknown,no,265
53,947,1,unknown,5,2.72,1,0,unknown,no,947
34,3,1,unknown,5,5.02,1,0,unknown,no,3
57,42,0,unknown,5,0.77,1,0,unknown,no,0
37,37,1,unknown,5,3.4,1,0,unknown,no,37
59,57,1,unknown,5,1.63,1,0,unknown,no,57
33,22,1,unknown,5,1.18,1,0,unknown,no,22
56,8,1,unknown,5,2.62,2,0,unknown,no,8
48,293,1,unknown,5,4.05,1,0,unknown,no,293
43,3,1,unknown,5,3.1,2,0,unknown,no,3
54,348,1,unknown,5,9.65,2,0,unknown,no,348
51,-19,1,unknown,5,2.72,2,0,unknown,no,-19
26,0,1,unknown,5,10.17,2,0,unknown,no,0
40,-4,1,unknown,5,33.88,1,0,unknown,no,-4
39,18,1,unknown,5,1.42,1,0,unknown,no,18
50,139,0,unknown,5,1.9,2,0,unknown,no,0
41,0,1,unknown,5,1.9,2,0,unknown,no,0
51,1883,1,unknown,5,0.95,1,0,unknown,no,1883
60,216,1,unknown,5,3.97,1,0,unknown,no,216
52,782,1,unknown,5,1.55,3,0,unknown,no,782
48,904,1,unknown,5,2.13,2,0,unknown,no,904
48,1705,1,unknown,5,1.78,1,0,unknown,no,1705
39,47,1,unknown,5,3.02,1,0,unknown,no,47
47,176,1,unknown,5,5.05,2,0,unknown,no,176
40,1225,1,unknown,5,9.3,5,0,unknown,no,1225
45,86,1,unknown,5,4.5,1,0,unknown,no,86
26,82,1,unknown,5,3.8,1,0,unknown,no,82
52,271,1,unknown,5,1.65,1,0,unknown,no,271
54,1378,1,unknown,5,4,1,0,unknown,no,1378
54,184,0,unknown,5,11.22,2,0,unknown,yes,0
50,0,0,unknown,5,3.88,3,0,unknown,no,0
35,0,1,unknown,5,17.6,1,0,unknown,no,0
44,1357,1,unknown,5,4.17,1,0,unknown,no,1357
53,19,1,unknown,5,4.2,1,0,unknown,no,19
35,434,0,unknown,5,2.3,1,0,unknown,no,0
60,92,1,unknown,5,2.17,1,0,unknown,no,92
53,1151,1,unknown,5,6.87,1,0,unknown,no,1151
48,41,1,unknown,5,2.98,2,0,unknown,no,41
34,51,1,unknown,5,0.32,2,0,unknown,no,51
54,214,1,unknown,5,7.63,2,0,unknown,no,214
51,1161,1,unknown,5,11.95,1,0,unknown,no,1161
31,37,1,unknown,5,5.22,1,0,unknown,no,37
35,787,1,unknown,5,11.38,2,0,unknown,no,787
35,59,1,unknown,5,17.95,1,0,unknown,no,59
38,253,1,unknown,5,6.93,1,0,unknown,no,253
36,211,1,unknown,5,2.43,2,0,unknown,no,211
58,235,1,unknown,5,2.78,1,0,unknown,no,235
40,4384,1,unknown,5,5.25,1,0,unknown,no,4384
54,4080,0,unknown,5,2.33,1,0,unknown,no,0
34,53,1,unknown,5,5.77,1,0,unknown,no,53
31,0,1,unknown,5,9.37,1,0,unknown,no,0
51,2127,1,unknown,5,2.87,1,0,unknown,no,2127
33,377,1,unknown,5,3.62,1,0,unknown,no,377
55,73,1,unknown,5,2.37,2,0,unknown,no,73
42,445,1,unknown,5,1.12,1,0,unknown,no,445
34,243,1,unknown,5,4.85,1,0,unknown,no,243
33,307,1,unknown,5,5.15,2,0,unknown,no,307
38,155,1,unknown,5,4.13,1,0,unknown,no,155
50,173,0,unknown,5,1.63,1,0,unknown,no,0
43,400,1,unknown,5,4.27,1,0,unknown,no,400
61,1428,1,unknown,5,1.37,2,0,unknown,no,1428
47,219,1,unknown,5,9.62,1,0,unknown,no,219
48,7,1,unknown,5,4.77,1,0,unknown,no,7
44,575,1,unknown,5,7.95,1,0,unknown,no,575
35,298,1,unknown,5,10.18,2,0,unknown,no,298
35,0,1,unknown,5,7.85,1,0,unknown,no,0
50,5699,1,unknown,5,6.35,2,0,unknown,no,5699
41,176,1,unknown,5,0.7,1,0,unknown,no,176
41,517,1,unknown,5,4.18,1,0,unknown,no,517
39,257,1,unknown,5,6.8,1,0,unknown,no,257
42,56,1,unknown,5,3.58,1,0,unknown,no,56
38,-390,1,unknown,5,4.78,1,0,unknown,no,-390
53,330,1,unknown,5,3.6,2,0,unknown,no,330
59,195,0,unknown,5,6.1,2,0,unknown,no,0
36,301,1,unknown,5,3.5,1,0,unknown,no,301
54,-41,1,unknown,5,4.8,1,0,unknown,no,-41
40,483,1,unknown,5,2.8,1,0,unknown,no,483
47,28,0,unknown,5,5.63,2,0,unknown,no,0
53,13,0,unknown,5,6.83,3,0,unknown,no,0
46,965,0,unknown,5,2.95,1,0,unknown,no,0
39,378,1,unknown,5,2.12,2,0,unknown,no,378
40,219,1,unknown,5,5.95,1,0,unknown,no,219
28,324,1,unknown,5,2.92,1,0,unknown,no,324
35,-69,1,unknown,5,5,1,0,unknown,no,-69
55,0,0,unknown,5,2.27,1,0,unknown,no,0
43,205,1,unknown,5,23.65,1,0,unknown,no,205
48,278,1,unknown,5,2.08,2,0,unknown,no,278
58,1065,1,unknown,5,3.55,3,0,unknown,no,1065
33,34,1,unknown,5,0.45,1,0,unknown,no,34
36,1033,0,unknown,5,3.97,2,0,unknown,no,0
53,1467,1,unknown,5,2.07,1,0,unknown,no,1467
47,-12,1,unknown,5,0.3,1,0,unknown,no,-12
31,388,1,unknown,5,12.17,2,0,unknown,no,388
57,294,1,unknown,5,12.43,2,0,unknown,no,294
53,1827,0,unknown,5,2.02,1,0,unknown,no,0
55,627,1,unknown,5,4.12,1,0,unknown,no,627
45,25,1,unknown,5,0.67,1,0,unknown,no,25
53,315,1,unknown,5,3.02,2,0,unknown,no,315
37,0,1,unknown,5,1.32,1,0,unknown,no,0
44,66,1,unknown,5,3.43,1,0,unknown,no,66
49,-9,1,unknown,5,6.48,1,0,unknown,no,-9
46,349,1,unknown,5,2.12,1,0,unknown,no,349
43,100,1,unknown,5,11.7,1,0,unknown,no,100
38,0,0,unknown,5,2.52,1,0,unknown,no,0
43,434,1,unknown,5,1.95,1,0,unknown,no,434
49,3237,1,unknown,5,3.87,3,0,unknown,no,3237
42,275,0,unknown,5,6.8,2,0,unknown,no,0
22,0,1,unknown,5,2.98,2,0,unknown,no,0
40,207,1,unknown,5,0.65,1,0,unknown,no,207
39,483,1,unknown,5,4.7,1,0,unknown,no,483
51,2248,1,unknown,5,11.9,2,0,unknown,no,2248
49,428,1,unknown,5,0.83,1,0,unknown,no,428
53,0,1,unknown,5,3.02,1,0,unknown,no,0
34,0,1,unknown,5,2.37,1,0,unknown,no,0
33,140,1,unknown,5,3.78,1,0,unknown,no,140
50,297,1,unknown,5,1.98,1,0,unknown,no,297
39,279,1,unknown,5,6.02,1,0,unknown,no,279
59,901,1,unknown,5,1.22,3,0,unknown,no,901
30,2573,1,unknown,5,1.12,2,0,unknown,no,2573
36,143,1,unknown,5,5.83,1,0,unknown,no,143
40,475,1,unknown,5,5.53,2,0,unknown,no,475
53,70,1,unknown,5,10.18,2,0,unknown,no,70
34,318,1,unknown,5,1.88,2,0,unknown,no,318
37,275,1,unknown,5,2.2,1,0,unknown,no,275
42,742,1,unknown,5,0.97,3,0,unknown,no,742
41,236,1,unknown,5,2.52,1,0,unknown,no,236
30,25,1,unknown,5,1.48,2,0,unknown,no,25
37,600,1,unknown,5,2.53,1,0,unknown,no,600
39,-349,1,unknown,5,10.18,2,0,unknown,no,-349
41,183,1,unknown,5,1.83,2,0,unknown,no,183
40,0,1,unknown,5,7.72,1,0,unknown,no,0
42,0,1,unknown,5,9.37,2,0,unknown,yes,0
40,0,1,unknown,5,16.03,1,0,unknown,no,0
57,1078,1,unknown,5,0.17,4,0,unknown,no,1078
56,155,0,unknown,5,1.97,3,0,unknown,no,0
37,190,1,unknown,5,1.53,2,0,unknown,no,190
59,319,1,unknown,5,2.38,3,0,unknown,no,319
39,-185,1,unknown,5,3.15,3,0,unknown,no,-185
49,47,0,unknown,5,3.9,2,0,unknown,no,0
38,570,1,unknown,5,1.25,2,0,unknown,no,570
36,19,0,unknown,5,3.15,2,0,unknown,no,0
50,61,1,unknown,5,10.35,3,0,unknown,no,61
41,-62,1,unknown,5,0.92,2,0,unknown,no,-62
54,258,0,unknown,5,5.17,4,0,unknown,no,0
58,76,1,unknown,5,2.6,2,0,unknown,no,76
30,0,1,unknown,5,0.08,2,0,unknown,no,0
33,352,1,unknown,5,3.75,2,0,unknown,no,352
47,368,1,unknown,5,2.08,2,0,unknown,no,368
50,339,1,unknown,5,0.03,3,0,unknown,no,339
32,1331,1,unknown,5,4.77,2,0,unknown,no,1331
40,672,1,unknown,5,2.73,2,0,unknown,no,672
37,58,1,unknown,5,1.63,2,0,unknown,no,58
54,447,1,unknown,5,12.37,2,0,unknown,no,447
24,423,1,unknown,5,3.77,3,0,unknown,no,423
54,0,0,unknown,5,2,2,0,unknown,no,0
34,19,1,unknown,5,6.03,4,0,unknown,no,19
56,13,1,unknown,5,5.95,2,0,unknown,no,13
31,3,1,unknown,5,3.33,2,0,unknown,no,3
24,82,1,unknown,5,3.4,2,0,unknown,no,82
42,28,1,unknown,5,2.1,3,0,unknown,no,28
57,792,1,unknown,5,1.08,2,0,unknown,no,792
42,408,1,unknown,5,1.78,2,0,unknown,no,408
51,531,1,unknown,5,4.45,2,0,unknown,no,531
57,211,1,unknown,5,4.13,2,0,unknown,no,211
36,62,1,unknown,5,3.58,2,0,unknown,no,62
53,257,1,unknown,5,3.48,2,0,unknown,no,257
50,1234,1,unknown,5,3.42,2,0,unknown,no,1234
54,313,1,unknown,5,1.38,2,0,unknown,no,313
55,89,1,unknown,5,1.77,3,0,unknown,no,89
44,129,1,unknown,5,3.15,2,0,unknown,no,129
43,0,1,unknown,5,1.75,2,0,unknown,no,0
56,353,1,unknown,5,1.77,2,0,unknown,no,353
54,851,1,unknown,5,1.8,2,0,unknown,no,851
55,96,1,unknown,5,5.18,2,0,unknown,no,96
37,398,1,unknown,5,3.57,2,0,unknown,no,398
33,193,0,unknown,5,2.2,2,0,unknown,no,0
46,-358,1,unknown,5,5.97,2,0,unknown,no,-358
36,539,1,unknown,5,7.55,2,0,unknown,no,539
51,0,1,unknown,5,6.07,2,0,unknown,no,0
40,0,0,unknown,5,2.27,2,0,unknown,no,0
42,490,1,unknown,5,6.43,2,0,unknown,no,490
51,0,1,unknown,5,2.88,2,0,unknown,no,0
49,403,1,unknown,5,4.02,2,0,unknown,no,403
48,161,1,unknown,5,3.73,3,0,unknown,no,161
32,2558,0,unknown,5,2.47,2,0,unknown,no,0
31,98,1,unknown,5,3.27,2,0,unknown,no,98
55,115,0,unknown,5,1.85,4,0,unknown,no,0
40,436,1,unknown,5,3.85,3,0,unknown,no,436
47,831,1,unknown,5,5.27,3,0,unknown,no,831
57,206,1,unknown,5,3.6,3,0,unknown,no,206
41,290,1,unknown,5,4,2,0,unknown,no,290
48,1,0,unknown,5,11.15,3,0,unknown,no,0
42,57,1,unknown,5,7.08,2,0,unknown,no,57
30,-457,1,unknown,5,2.38,2,0,unknown,no,-457
58,1387,1,unknown,5,2.9,5,0,unknown,no,1387
45,24598,1,unknown,5,5.22,3,0,unknown,no,24598
49,30,1,unknown,5,2.25,4,0,unknown,no,30
42,1022,1,unknown,5,2.43,2,0,unknown,no,1022
53,56,1,unknown,5,2.53,2,0,unknown,no,56
51,-2,0,unknown,5,6.7,3,0,unknown,no,0
32,121,1,unknown,5,3.55,2,0,unknown,no,121
41,842,1,unknown,5,2.4,3,0,unknown,no,842
43,693,1,unknown,5,2.07,3,0,unknown,no,693
40,-333,1,unknown,5,3.05,2,0,unknown,no,-333
50,1533,1,unknown,5,5.42,2,0,unknown,no,1533
34,46,1,unknown,5,0.65,4,0,unknown,no,46
53,18,0,unknown,5,8.38,2,0,unknown,no,0
45,44,1,unknown,5,1.58,4,0,unknown,no,44
39,-100,1,unknown,5,11.33,2,0,unknown,no,-100
44,510,1,unknown,5,7.02,4,0,unknown,no,510
55,685,1,unknown,5,2.9,3,0,unknown,no,685
46,187,1,unknown,5,1.88,2,0,unknown,no,187
45,66,1,unknown,5,13.47,2,0,unknown,no,66
34,560,1,unknown,5,3.3,3,0,unknown,no,560
36,0,1,unknown,5,3.25,2,0,unknown,no,0
59,27,0,unknown,5,5.78,3,0,unknown,no,0
31,12,1,unknown,5,3.47,2,0,unknown,no,12
44,34,1,unknown,5,6.73,4,0,unknown,no,34
33,1068,1,unknown,5,6.6,2,0,unknown,no,1068
40,211,1,unknown,5,3.6,4,0,unknown,no,211
46,377,1,unknown,5,1.63,2,0,unknown,no,377
48,263,1,unknown,5,5.83,2,0,unknown,no,263
42,1263,1,unknown,6,1.9,2,0,unknown,no,1263
27,8,1,unknown,6,1.47,3,0,unknown,no,8
48,126,1,unknown,6,6.32,2,0,unknown,no,126
59,230,1,unknown,6,3.17,3,0,unknown,no,230
46,841,1,unknown,6,2.63,1,0,unknown,no,841
38,308,1,unknown,6,1.7,1,0,unknown,no,308
43,1,1,unknown,6,5.1,1,0,unknown,no,1
38,86,1,unknown,6,3.63,1,0,unknown,no,86
23,157,1,unknown,6,0.9,1,0,unknown,no,157
34,22,1,unknown,6,5.73,1,0,unknown,no,22
38,46,1,unknown,6,3.25,1,0,unknown,no,46
37,1293,0,unknown,6,10.87,1,0,unknown,no,0
25,122,1,unknown,6,4.77,1,0,unknown,no,122
48,131,1,unknown,6,3.15,1,0,unknown,no,131
49,143,1,unknown,6,1.38,1,0,unknown,no,143
38,393,0,unknown,6,3.07,2,0,unknown,no,0
43,98,1,unknown,6,3.92,1,0,unknown,no,98
33,0,1,unknown,6,4.83,1,0,unknown,no,0
55,224,1,unknown,6,3.87,1,0,unknown,no,224
38,757,1,unknown,6,2.22,1,0,unknown,no,757
49,245,1,unknown,6,5.3,1,0,unknown,no,245
40,8486,0,unknown,6,4.33,3,0,unknown,no,0
43,350,0,unknown,6,7.28,1,0,unknown,no,0
38,20,1,unknown,6,6.7,1,0,unknown,no,20
58,1667,1,unknown,6,1.42,1,0,unknown,no,1667
57,345,1,unknown,6,2.08,1,0,unknown,no,345
32,10,1,unknown,6,8.35,4,0,unknown,no,10
56,830,1,unknown,6,20.02,1,0,unknown,yes,830
58,29,1,unknown,6,4.22,1,0,unknown,no,29
60,545,1,unknown,6,17.17,1,0,unknown,yes,545
37,8730,1,unknown,6,2.48,1,0,unknown,no,8730
46,477,1,unknown,6,1.9,1,0,unknown,no,477
27,4,1,unknown,6,4.05,1,0,unknown,no,4
43,1205,1,unknown,6,12.82,2,0,unknown,no,1205
32,0,1,unknown,6,2.25,3,0,unknown,no,0
40,263,1,unknown,6,3.85,1,0,unknown,no,263
38,1,0,unknown,6,1.27,1,0,unknown,no,0
34,283,0,unknown,6,3.32,1,0,unknown,no,0
47,206,1,unknown,6,2.53,1,0,unknown,no,206
42,17,1,unknown,6,2.07,1,0,unknown,no,17
48,141,1,unknown,6,7.07,1,0,unknown,no,141
29,16,1,unknown,6,0.72,1,0,unknown,no,16
50,206,1,unknown,6,2.57,1,0,unknown,no,206
52,7,0,unknown,6,3.38,2,0,unknown,no,0
50,0,0,unknown,6,5.43,1,0,unknown,no,0
58,0,0,unknown,6,6.55,1,0,unknown,no,0
46,1927,1,unknown,6,4.02,3,0,unknown,no,1927
38,284,1,unknown,6,8.05,1,0,unknown,no,284
46,1660,1,unknown,6,4.32,1,0,unknown,no,1660
32,406,1,unknown,6,3.78,1,0,unknown,no,406
51,230,1,unknown,6,11.22,1,0,unknown,no,230
39,-25,1,unknown,6,9.6,1,0,unknown,no,-25
48,182,1,unknown,6,3,2,0,unknown,no,182
36,1169,1,unknown,6,2.8,2,0,unknown,no,1169
34,67,1,unknown,6,1.5,1,0,unknown,no,67
40,77,0,unknown,6,8.42,1,0,unknown,no,0
43,0,1,unknown,6,4.08,1,0,unknown,no,0
52,55,1,unknown,6,3.1,1,0,unknown,no,55
33,72,1,unknown,6,10.38,1,0,unknown,no,72
49,163,1,unknown,6,8.27,3,0,unknown,no,163
32,151,1,unknown,6,1.97,1,0,unknown,no,151
39,113,1,unknown,6,5.7,1,0,unknown,no,113
40,0,1,unknown,6,3.75,1,0,unknown,no,0
38,9,1,unknown,6,3.08,3,0,unknown,no,9
43,375,1,unknown,6,3.27,2,0,unknown,no,375
39,1142,1,unknown,6,4.6,1,0,unknown,no,1142
54,2102,1,unknown,6,1.27,1,0,unknown,no,2102
38,4325,1,unknown,6,1.45,1,0,unknown,no,4325
40,217,1,unknown,6,3.25,1,0,unknown,no,217
55,131,1,unknown,6,12.4,1,0,unknown,no,131
42,1680,1,unknown,6,12.75,1,0,unknown,no,1680
39,0,1,unknown,6,4.37,1,0,unknown,no,0
40,46,1,unknown,6,1.98,1,0,unknown,no,46
32,320,1,unknown,6,3.3,2,0,unknown,no,320
55,183,1,unknown,6,2.5,1,0,unknown,no,183
45,39,0,unknown,6,4.02,1,0,unknown,no,0
35,560,1,unknown,6,3.02,1,0,unknown,no,560
58,469,0,unknown,6,3.27,1,0,unknown,no,0
35,530,1,unknown,6,2.48,1,0,unknown,no,530
49,61,1,unknown,6,4.1,1,0,unknown,no,61
34,242,1,unknown,6,1.87,1,0,unknown,no,242
36,139,1,unknown,6,5.15,2,0,unknown,no,139
24,0,1,unknown,6,4.63,1,0,unknown,no,0
34,367,1,unknown,6,2.33,1,0,unknown,no,367
51,228,1,unknown,6,2.27,1,0,unknown,no,228
39,45248,1,unknown,6,27.05,1,0,unknown,yes,45248
50,-84,1,unknown,6,1.68,1,0,unknown,no,-84
32,310,1,unknown,6,2.4,1,0,unknown,no,310
42,132,1,unknown,6,3.97,1,0,unknown,no,132
50,797,1,unknown,6,5.9,1,0,unknown,no,797
40,71,0,unknown,6,1.32,1,0,unknown,no,0
46,2,1,unknown,6,3.12,1,0,unknown,no,2
37,231,1,unknown,6,7.52,2,0,unknown,no,231
34,270,1,unknown,6,2.65,1,0,unknown,no,270
44,274,1,unknown,6,6.82,1,0,unknown,no,274
40,-109,1,unknown,6,2.83,1,0,unknown,no,-109
37,1,1,unknown,6,10.13,1,0,unknown,yes,1
33,-60,0,unknown,6,4.05,1,0,unknown,no,0
35,89,1,unknown,6,2.42,2,0,unknown,no,89
58,-11,0,unknown,6,1.87,1,0,unknown,no,0
39,0,1,unknown,6,4.37,2,0,unknown,no,0
43,-509,1,unknown,6,2.07,1,0,unknown,no,-509
39,408,1,unknown,6,0.88,1,0,unknown,no,408
36,58,1,unknown,6,2.23,1,0,unknown,no,58
57,1640,0,unknown,6,3.4,4,0,unknown,no,0
36,20,1,unknown,6,3.1,1,0,unknown,no,20
50,71,1,unknown,6,11.3,1,0,unknown,no,71
55,52,1,unknown,6,3.03,1,0,unknown,no,52
44,292,1,unknown,6,2.7,1,0,unknown,no,292
44,424,1,unknown,6,0.45,1,0,unknown,no,424
39,109,1,unknown,6,11.65,3,0,unknown,no,109
46,1044,1,unknown,6,0.72,1,0,unknown,no,1044
39,983,1,unknown,6,1.62,1,0,unknown,no,983
34,869,0,unknown,6,27.95,1,0,unknown,yes,0
40,668,1,unknown,6,4.72,2,0,unknown,no,668
50,964,1,unknown,6,5.38,1,0,unknown,no,964
31,301,1,unknown,6,1.37,1,0,unknown,no,301
37,140,1,unknown,6,5.17,1,0,unknown,no,140
39,1877,1,unknown,6,3.08,1,0,unknown,no,1877
51,1127,1,unknown,6,0.78,1,0,unknown,no,1127
41,871,1,unknown,6,2.42,1,0,unknown,no,871
41,767,1,unknown,6,3.4,1,0,unknown,no,767
43,0,0,unknown,6,3.12,1,0,unknown,no,0
30,209,1,unknown,6,0.5,2,0,unknown,no,209
54,0,0,unknown,6,7.87,1,0,unknown,no,0
43,110,1,unknown,6,7.47,1,0,unknown,no,110
59,-76,1,unknown,6,4.4,1,0,unknown,no,-76
47,178,1,unknown,6,2.82,1,0,unknown,no,178
40,-66,1,unknown,6,4.8,1,0,unknown,no,-66
32,0,1,unknown,6,2.93,2,0,unknown,no,0
